                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4692,                 3.0473,                 1.7074,                0.26162,                0.17884,                0.19896,                0.10397,                 1.7724,                 3.1429,                 1.6504,              0.0033318,              0.0033318,              0.0033318
                      2,                  1.412,                 2.3263,                 1.6572,                0.21267,                 0.2975,                0.20941,                0.10084,                  1.928,                 2.6052,                 1.7606,              0.0066387,              0.0066387,              0.0066387
                      3,                 1.4871,                 2.1591,                  1.725,                0.19613,                0.12202,                 0.1158,                0.04241,                  2.236,                 3.3167,                 2.0107,              0.0099193,              0.0099193,              0.0099193
                      4,                 1.5243,                 2.0982,                 1.7717,                0.33202,                0.33209,                0.28858,                0.12475,                 2.0721,                 2.4781,                 1.9312,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.4612,                 1.9454,                 1.7311,                0.25199,                0.27048,                0.25921,                0.12107,                 1.9877,                 2.5218,                 1.8881,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.4305,                 1.8981,                 1.7053,                0.34016,                 0.3123,                0.31542,                0.15771,                 1.9979,                 2.4384,                  1.955,              0.0098416,              0.0098416,              0.0098416
                      7,                 1.3895,                 1.7895,                 1.6627,                0.25486,                0.22725,                0.21469,                 0.1163,                 2.0409,                 2.7724,                 1.9274,               0.009802,               0.009802,               0.009802
                      8,                 1.3558,                 1.7097,                 1.6488,                0.37188,                 0.3071,                0.37557,                0.19678,                 1.8108,                 2.2058,                 1.7808,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.3131,                 1.6297,                 1.6045,                0.39294,                0.32286,                0.38085,                0.20362,                 1.8409,                 2.3039,                 1.7447,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.3074,                 1.6218,                 1.5932,                0.44469,                0.35735,                0.37726,                0.20969,                 1.7781,                 2.1317,                 1.7329,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.2916,                 1.5801,                  1.593,                0.61197,                0.33524,                0.36274,                0.19853,                 1.7957,                 2.3106,                 1.7642,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.2767,                 1.5538,                 1.5785,                0.47939,                0.37086,                0.37921,                 0.2165,                 1.7423,                 2.1134,                 1.7023,               0.009604,               0.009604,               0.009604
                     13,                 1.2693,                 1.5363,                 1.5601,                0.50658,                0.32734,                0.40767,                0.23092,                 1.7334,                 2.1119,                  1.665,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.2528,                 1.4958,                 1.5468,                0.47704,                0.42555,                0.41741,                0.22915,                 1.7817,                 2.0629,                 1.7425,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.2454,                 1.4825,                 1.5395,                0.50412,                0.42025,                0.43603,                0.24137,                 1.7445,                 1.9819,                 1.6573,              0.0094852,              0.0094852,              0.0094852
                     16,                  1.228,                 1.4332,                 1.5251,                0.51273,                0.39784,                0.42347,                0.22129,                 1.8007,                 2.0266,                 1.7154,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.2202,                 1.4212,                 1.5273,                0.53164,                0.41707,                0.45149,                0.25475,                 1.7456,                 1.9606,                 1.6398,               0.009406,               0.009406,               0.009406
                     18,                 1.2064,                  1.406,                 1.5193,                0.55516,                0.38533,                0.46654,                0.28399,                 1.6417,                  1.789,                 1.5988,              0.0093664,              0.0093664,              0.0093664
                     19,                 1.1991,                 1.3866,                 1.5044,                0.45698,                0.39519,                0.40948,                0.24846,                 1.6355,                 2.0067,                  1.623,              0.0093268,              0.0093268,              0.0093268
                     20,                 1.2053,                 1.3802,                 1.5042,                 0.5763,                 0.4543,                0.49049,                0.28927,                  1.638,                 1.7703,                 1.5744,              0.0092872,              0.0092872,              0.0092872
                     21,                 1.1944,                 1.3602,                  1.501,                0.54971,                0.47235,                0.48943,                0.28376,                  1.635,                 1.8484,                 1.5997,              0.0092476,              0.0092476,              0.0092476
                     22,                 1.1871,                 1.3741,                  1.492,                0.45792,                0.45028,                0.42943,                0.25731,                 1.6339,                 1.9177,                 1.6309,               0.009208,               0.009208,               0.009208
