                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3254,                 2.8611,                 1.5904,                0.33845,                0.30874,                 0.3109,                 0.1795,                 1.6161,                  2.673,                 1.5583,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2925,                 2.1444,                 1.5535,                0.20802,                0.11057,                0.08924,                0.05771,                 2.2227,                 4.0725,                 2.0946,              0.0066211,              0.0066211,              0.0066211
                      3,                  1.374,                 1.9774,                 1.6218,                0.23967,                0.20756,                0.20091,                0.10007,                 1.9469,                 2.8094,                  1.867,              0.0098665,              0.0098665,              0.0098665
                      4,                 1.4232,                  1.933,                 1.6727,                0.26457,                0.30285,                 0.2812,                0.15123,                 1.9277,                  2.437,                 1.8284,               0.009802,               0.009802,               0.009802
                      5,                 1.3597,                 1.7803,                 1.6266,                0.25677,                 0.1659,                0.18545,                 0.1089,                  2.022,                 3.0511,                  1.899,               0.009802,               0.009802,               0.009802
                      6,                 1.3294,                 1.6947,                 1.5921,                0.55049,                0.28824,                 0.3573,                0.20279,                 1.7294,                 2.2397,                 1.6666,               0.009736,               0.009736,               0.009736
                      7,                 1.2857,                 1.6037,                 1.5615,                0.45668,                0.47594,                0.45255,                0.25762,                 1.6854,                 1.8966,                  1.592,                0.00967,                0.00967,                0.00967
                      8,                 1.2552,                 1.5246,                 1.5429,                0.35702,                0.36034,                0.40066,                0.24196,                 1.6628,                 2.0748,                 1.6106,               0.009604,               0.009604,               0.009604
                      9,                   1.22,                 1.4434,                 1.5128,                0.59704,                0.40858,                0.41564,                0.23857,                 1.7057,                 2.0017,                 1.6646,               0.009538,               0.009538,               0.009538
                     10,                 1.2154,                 1.4522,                 1.5033,                0.57558,                0.50305,                0.52167,                0.29311,                 1.6031,                 1.7107,                 1.5513,               0.009472,               0.009472,               0.009472
                     11,                 1.1921,                 1.4049,                 1.4931,                0.43199,                0.39211,                0.50429,                0.31825,                 1.4993,                 1.7327,                 1.5021,               0.009406,               0.009406,               0.009406
                     12,                 1.1794,                 1.3644,                 1.4839,                0.52938,                0.39573,                0.41062,                0.25133,                 1.6132,                 2.0343,                 1.5613,                0.00934,                0.00934,                0.00934
                     13,                 1.1821,                  1.347,                 1.4787,                0.77834,                0.44236,                 0.5028,                0.30678,                 1.5441,                 1.7811,                 1.4717,               0.009274,               0.009274,               0.009274
                     14,                 1.1564,                 1.3153,                 1.4536,                0.60394,                0.49922,                0.54271,                0.33416,                 1.4821,                 1.5706,                 1.4891,               0.009208,               0.009208,               0.009208
                     15,                 1.1459,                 1.3032,                 1.4551,                0.52946,                0.51932,                0.52832,                0.33472,                 1.4617,                 1.5868,                 1.4228,               0.009142,               0.009142,               0.009142
                     16,                 1.1354,                 1.2743,                 1.4381,                 0.5738,                0.49111,                0.52499,                0.33145,                  1.432,                 1.6224,                 1.4153,               0.009076,               0.009076,               0.009076
                     17,                 1.1177,                 1.2356,                 1.4277,                 0.6414,                0.50516,                 0.5373,                0.33705,                 1.4902,                 1.5993,                 1.4528,                0.00901,                0.00901,                0.00901
                     18,                 1.1187,                 1.2383,                  1.428,                0.63375,                0.51566,                 0.5437,                0.34835,                 1.4472,                 1.5394,                 1.4142,               0.008944,               0.008944,               0.008944
                     19,                 1.1028,                 1.2062,                 1.4101,                0.54062,                0.50274,                0.49956,                0.31979,                 1.4699,                 1.6882,                 1.4685,               0.008878,               0.008878,               0.008878
                     20,                  1.103,                 1.2049,                 1.4127,                0.64689,                0.51606,                0.55855,                0.35974,                 1.4213,                 1.5127,                    1.4,               0.008812,               0.008812,               0.008812
                     21,                 1.0949,                 1.1685,                 1.4056,                0.71109,                0.54427,                0.60122,                0.36874,                 1.4235,                 1.4672,                  1.403,               0.008746,               0.008746,               0.008746
