                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2275,                 2.5945,                 1.4949,                0.65924,                0.58347,                0.61902,                0.36623,                 1.3347,                  1.994,                  1.348,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.1905,                 1.8725,                 1.4665,                0.40644,                0.33464,                0.34945,                0.18452,                 1.6022,                  2.334,                 1.5632,              0.0066383,              0.0066383,              0.0066383
                      3,                 1.2872,                 1.7705,                 1.5427,                0.35444,                0.41125,                0.38073,                0.19022,                 1.7234,                 2.1814,                 1.6023,              0.0099189,              0.0099189,              0.0099189
                      4,                 1.3534,                 1.7466,                  1.602,                0.34856,                0.31713,                0.38871,                 0.2038,                 1.7631,                  2.138,                 1.6903,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.3096,                 1.6027,                 1.5649,                0.54532,                0.44846,                0.47152,                0.23898,                 1.6859,                 1.9869,                 1.5975,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.2635,                 1.4978,                  1.522,                 0.5719,                 0.4962,                 0.5269,                0.29258,                 1.6308,                 1.7471,                 1.5525,              0.0098416,              0.0098416,              0.0098416
                      7,                 1.2306,                 1.4496,                 1.5093,                0.58432,                0.50676,                0.53348,                0.30011,                 1.6285,                 1.7224,                 1.5283,               0.009802,               0.009802,               0.009802
                      8,                  1.185,                 1.3469,                 1.4701,                0.64309,                0.47688,                0.54972,                 0.3212,                 1.5264,                  1.615,                 1.4398,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.1761,                 1.3242,                 1.4608,                 0.5668,                0.58728,                0.57756,                0.34497,                 1.4601,                 1.5186,                 1.4256,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.1486,                 1.2647,                 1.4384,                0.62243,                0.61476,                0.64965,                0.38747,                 1.3973,                 1.3869,                 1.3417,              0.0096832,              0.0096832,              0.0096832
