                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5088,                 2.3539,                 1.7305,                0.62787,                0.27104,                0.29997,                0.17704,                 2.2318,                 3.2168,                 2.2564,               0.067218,             0.00049922,             0.00049922
                      2,                 1.4601,                 2.0052,                 1.6846,                0.77176,                0.29847,                0.34776,                0.22017,                 1.9455,                 3.0148,                 2.0862,               0.034378,             0.00099262,             0.00099262
                      3,                 1.4261,                 1.8801,                 1.6505,                0.47636,                0.38411,                0.36664,                0.20371,                 1.9306,                 2.9337,                 2.1273,              0.0015315,              0.0014794,              0.0014794
                      4,                 1.3693,                  1.774,                 1.6233,                0.40702,                0.33187,                0.36124,                0.21393,                 2.1342,                 3.4729,                 2.3559,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.3246,                  1.693,                 1.5849,                0.50954,                0.33276,                0.31747,                0.19909,                 2.1619,                 2.8292,                 2.2868,              0.0014703,              0.0014703,              0.0014703
                      6,                 1.2907,                 1.5994,                 1.5551,                0.58098,                0.38472,                0.43913,                0.25791,                 1.7508,                 2.5369,                  1.876,              0.0014604,              0.0014604,              0.0014604
                      7,                 1.2819,                 1.5632,                 1.5385,                0.59476,                0.41516,                0.47387,                 0.2904,                 1.8645,                 2.5579,                 2.0314,              0.0014505,              0.0014505,              0.0014505
                      8,                 1.2616,                 1.5704,                 1.5319,                0.60096,                0.31821,                0.36384,                0.23661,                 1.8807,                 2.6456,                 2.0805,              0.0014406,              0.0014406,              0.0014406
                      9,                 1.2376,                 1.5088,                 1.5261,                0.83216,                0.47475,                0.51631,                0.32809,                 2.0023,                  2.437,                 2.0953,              0.0014307,              0.0014307,              0.0014307
                     10,                 1.1954,                 1.4354,                 1.4874,                0.69725,                0.43909,                0.51092,                0.33414,                 1.6873,                 2.3129,                 1.8417,              0.0014208,              0.0014208,              0.0014208
                     11,                 1.2022,                 1.3931,                 1.4691,                0.72137,                0.41557,                0.50887,                0.33462,                 1.7574,                 2.2675,                 1.8606,              0.0014109,              0.0014109,              0.0014109
                     12,                 1.1713,                 1.3823,                 1.4597,                0.80849,                0.52086,                0.56216,                0.38518,                 1.5984,                 2.2207,                 1.7667,               0.001401,               0.001401,               0.001401
                     13,                  1.157,                 1.3268,                 1.4411,                0.75911,                0.52047,                0.56093,                0.38597,                 1.6346,                 2.1348,                 1.8067,              0.0013911,              0.0013911,              0.0013911
                     14,                 1.1551,                 1.3097,                 1.4418,                0.86219,                0.52198,                0.58149,                0.40376,                 1.5594,                  2.203,                 1.7049,              0.0013812,              0.0013812,              0.0013812
                     15,                 1.1454,                 1.2922,                 1.4373,                0.73464,                 0.5115,                0.57365,                0.37594,                 1.6869,                 2.0231,                 1.8345,              0.0013713,              0.0013713,              0.0013713
                     16,                 1.1469,                 1.3028,                 1.4295,                0.69551,                0.51275,                0.60185,                0.39302,                 1.5904,                 1.9117,                  1.762,              0.0013614,              0.0013614,              0.0013614
                     17,                 1.1276,                 1.2689,                 1.4205,                0.83001,                 0.5466,                 0.5913,                0.39872,                  1.582,                 2.0255,                  1.736,              0.0013515,              0.0013515,              0.0013515
                     18,                 1.1232,                 1.2643,                 1.4064,                0.79876,                0.50926,                0.55237,                0.38961,                  1.547,                 2.0702,                 1.7211,              0.0013416,              0.0013416,              0.0013416
                     19,                 1.1098,                 1.2244,                 1.4066,                0.72101,                0.53034,                0.58671,                0.40626,                  1.552,                 1.9971,                 1.7239,              0.0013317,              0.0013317,              0.0013317
                     20,                 1.1081,                 1.2075,                 1.3975,                0.92554,                  0.502,                0.57433,                0.40149,                 1.5761,                  2.117,                 1.7265,              0.0013218,              0.0013218,              0.0013218
                     21,                  1.086,                 1.1869,                 1.3767,                0.83026,                0.53816,                0.62141,                0.43951,                 1.4416,                  1.847,                  1.592,              0.0013119,              0.0013119,              0.0013119
                     22,                 1.1003,                  1.205,                 1.3901,                0.75376,                0.53599,                0.61715,                0.43482,                 1.5274,                  1.862,                  1.667,               0.001302,               0.001302,               0.001302
                     23,                 1.0969,                 1.1845,                 1.3853,                0.89387,                0.52261,                0.60701,                0.42085,                 1.5896,                 1.8753,                 1.7179,              0.0012921,              0.0012921,              0.0012921
                     24,                 1.0579,                 1.1387,                 1.3616,                0.70493,                0.65197,                0.69119,                0.45934,                 1.4951,                 1.6934,                 1.6201,              0.0012822,              0.0012822,              0.0012822
                     25,                 1.0714,                 1.1738,                 1.3689,                0.66454,                0.61725,                0.66329,                 0.4538,                 1.4965,                 1.7791,                 1.6445,              0.0012723,              0.0012723,              0.0012723
                     26,                 1.0819,                 1.1661,                 1.3852,                0.86532,                0.54129,                0.61359,                0.44495,                 1.4654,                 1.9153,                 1.6661,              0.0012624,              0.0012624,              0.0012624
                     27,                 1.0879,                  1.166,                 1.3759,                0.88052,                0.48659,                0.55124,                0.38549,                 1.6345,                 2.2473,                  1.787,              0.0012525,              0.0012525,              0.0012525
                     28,                  1.064,                 1.1596,                 1.3696,                0.92304,                0.51516,                0.60973,                0.42847,                 1.5217,                 2.0573,                 1.6439,              0.0012426,              0.0012426,              0.0012426
                     29,                  1.068,                 1.1288,                  1.368,                0.93926,                0.54088,                0.69991,                0.49442,                 1.3663,                 1.7188,                 1.5224,              0.0012327,              0.0012327,              0.0012327
                     30,                 1.0392,                 1.1024,                  1.351,                0.90813,                0.55884,                 0.6856,                0.47229,                 1.3876,                 1.7623,                 1.5808,              0.0012228,              0.0012228,              0.0012228
                     31,                 1.0448,                 1.1092,                 1.3597,                 0.9632,                0.56228,                0.64828,                0.44899,                 1.5564,                 1.8299,                 1.6905,              0.0012129,              0.0012129,              0.0012129
                     32,                 1.0536,                 1.0931,                 1.3533,                 0.7512,                0.63563,                0.69437,                0.47163,                 1.4447,                 1.6922,                 1.5574,               0.001203,               0.001203,               0.001203
                     33,                 1.0527,                 1.0913,                 1.3545,                0.87473,                0.50178,                 0.6061,                0.42029,                 1.5755,                 1.8525,                 1.6893,              0.0011931,              0.0011931,              0.0011931
                     34,                 1.0383,                 1.0582,                 1.3342,                0.94634,                0.54251,                0.63163,                0.45247,                 1.5455,                 1.7936,                 1.6844,              0.0011832,              0.0011832,              0.0011832
                     35,                 1.0292,                 1.0599,                 1.3392,                0.76101,                0.62724,                0.68479,                0.48395,                 1.4453,                 1.5523,                 1.5772,              0.0011733,              0.0011733,              0.0011733
                     36,                 1.0283,                  1.064,                 1.3378,                 0.8908,                0.55476,                0.62937,                0.45592,                 1.4388,                 1.8286,                 1.5527,              0.0011634,              0.0011634,              0.0011634
                     37,                  1.015,                 1.0392,                 1.3202,                0.83766,                0.59183,                0.69627,                0.48216,                 1.4439,                 1.6537,                 1.5483,              0.0011535,              0.0011535,              0.0011535
                     38,                 1.0224,                 1.0221,                 1.3269,                0.85049,                0.60092,                0.67835,                 0.4743,                 1.4536,                 1.7487,                 1.5642,              0.0011436,              0.0011436,              0.0011436
                     39,                 1.0075,                 1.0403,                 1.3186,                0.81551,                 0.5578,                0.61716,                0.43148,                 1.5279,                 1.8354,                 1.6779,              0.0011337,              0.0011337,              0.0011337
                     40,                  1.004,                 1.0142,                 1.3218,                0.69047,                0.62719,                0.66701,                0.47383,                 1.4353,                 1.7612,                 1.5874,              0.0011238,              0.0011238,              0.0011238
                     41,                0.99668,                 1.0002,                 1.3124,                0.89973,                0.56538,                0.65863,                0.46581,                 1.4867,                 1.7399,                 1.6489,              0.0011139,              0.0011139,              0.0011139
                     42,                 1.0028,                 1.0145,                 1.3164,                0.73642,                0.61848,                0.68126,                 0.4822,                 1.3871,                 1.6667,                 1.5529,               0.001104,               0.001104,               0.001104
