                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.519,                 2.3341,                 1.7047,                0.58089,                0.25184,                0.28153,                0.16783,                 2.3892,                 3.1582,                 2.3308,               0.067218,             0.00049922,             0.00049922
                      2,                 1.4683,                  2.021,                 1.6758,                0.63004,                0.30182,                0.33384,                0.18979,                 2.1604,                 3.1229,                 2.2423,               0.034378,             0.00099262,             0.00099262
                      3,                 1.4305,                 1.9208,                 1.6646,                0.50789,                0.30696,                0.36576,                0.20433,                 2.1345,                 2.8235,                 2.3409,              0.0015315,              0.0014794,              0.0014794
                      4,                 1.3966,                 1.8203,                 1.6375,                0.54682,                0.38823,                0.45228,                 0.2958,                 2.0239,                 2.6925,                 2.1319,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.3354,                 1.7423,                 1.5975,                0.68591,                0.41148,                0.44334,                0.25188,                 1.9749,                 2.6283,                 2.0972,              0.0014703,              0.0014703,              0.0014703
                      6,                 1.3187,                 1.6237,                 1.5673,                0.84876,                0.38371,                0.45005,                0.29143,                 1.8992,                 2.5793,                 2.0504,              0.0014604,              0.0014604,              0.0014604
                      7,                 1.2906,                 1.6122,                 1.5468,                0.80904,                0.40816,                0.48242,                0.30012,                 1.8143,                 2.4477,                 1.9607,              0.0014505,              0.0014505,              0.0014505
                      8,                 1.2653,                 1.5911,                 1.5292,                  0.638,                0.46209,                0.47868,                 0.3254,                 1.8015,                 2.4827,                 1.9412,              0.0014406,              0.0014406,              0.0014406
                      9,                 1.2397,                 1.5344,                  1.525,                0.85486,                0.49148,                0.53091,                0.35283,                 1.7921,                 2.2593,                 1.9051,              0.0014307,              0.0014307,              0.0014307
                     10,                 1.2071,                 1.4541,                 1.4848,                0.81264,                0.42782,                 0.5044,                0.35434,                 1.7787,                  2.762,                 1.9941,              0.0014208,              0.0014208,              0.0014208
                     11,                   1.21,                 1.4131,                 1.4748,                0.71019,                0.46822,                0.51972,                0.35284,                 1.7372,                 2.2417,                 1.9155,              0.0014109,              0.0014109,              0.0014109
                     12,                 1.1839,                 1.4025,                 1.4655,                0.75837,                0.50904,                0.53969,                0.36786,                 1.6765,                 2.2905,                 1.8874,               0.001401,               0.001401,               0.001401
                     13,                 1.1582,                 1.3456,                 1.4473,                0.80133,                0.47443,                0.54754,                0.38722,                 1.7027,                 2.2049,                 1.8683,              0.0013911,              0.0013911,              0.0013911
                     14,                 1.1715,                 1.3631,                 1.4526,                0.83507,                0.49469,                0.53467,                0.37092,                 1.7257,                 2.5591,                 1.9285,              0.0013812,              0.0013812,              0.0013812
                     15,                 1.1557,                 1.3183,                 1.4459,                0.83181,                0.40065,                 0.4701,                0.31617,                 1.7078,                 2.7513,                 1.9081,              0.0013713,              0.0013713,              0.0013713
                     16,                 1.1555,                 1.3128,                 1.4373,                0.90712,                 0.4768,                0.53216,                  0.367,                 1.7428,                 2.1458,                 1.9127,              0.0013614,              0.0013614,              0.0013614
                     17,                 1.1324,                 1.2853,                 1.4184,                0.82337,                0.51163,                0.56202,                0.37631,                 1.6597,                 2.0699,                 1.8249,              0.0013515,              0.0013515,              0.0013515
                     18,                 1.1301,                 1.2775,                 1.4157,                 0.8147,                 0.4898,                0.54038,                 0.3558,                 1.6729,                 2.1645,                 1.7597,              0.0013416,              0.0013416,              0.0013416
                     19,                 1.1279,                 1.2493,                 1.4205,                0.82706,                0.50636,                0.55067,                0.38584,                 1.6264,                 2.2834,                 1.7923,              0.0013317,              0.0013317,              0.0013317
                     20,                 1.1224,                 1.2575,                 1.4115,                0.86546,                0.52647,                0.60332,                0.40932,                 1.5208,                 1.9269,                 1.6549,              0.0013218,              0.0013218,              0.0013218
                     21,                 1.1049,                 1.2263,                 1.3941,                0.91059,                0.49557,                0.57093,                0.39976,                 1.6345,                 2.0077,                 1.7568,              0.0013119,              0.0013119,              0.0013119
                     22,                 1.1197,                 1.2285,                 1.4014,                0.70892,                0.51965,                0.57869,                0.38693,                 1.6762,                 1.9606,                 1.8356,               0.001302,               0.001302,               0.001302
                     23,                 1.1001,                 1.1943,                 1.3844,                 0.7458,                0.58132,                0.63994,                0.42112,                 1.5486,                 1.8669,                 1.6273,              0.0012921,              0.0012921,              0.0012921
                     24,                 1.0841,                 1.1847,                 1.3813,                0.94318,                0.51231,                0.62526,                0.42117,                 1.5461,                 1.9211,                  1.702,              0.0012822,              0.0012822,              0.0012822
