                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4115,                 2.0414,                 1.6029,                0.80318,                0.43703,                0.45699,                0.28838,                 1.6352,                 2.7656,                 1.6028,               0.067218,             0.00049922,             0.00049922
                      2,                 1.3812,                 1.7221,                 1.5909,                0.80458,                0.48081,                0.53546,                0.33165,                 1.6358,                 2.4256,                 1.7109,               0.034378,             0.00099262,             0.00099262
                      3,                 1.3665,                 1.6605,                   1.57,                 0.8574,                0.47131,                0.51724,                0.32318,                  1.635,                 2.3813,                 1.6976,              0.0015315,              0.0014794,              0.0014794
                      4,                 1.3172,                 1.5827,                 1.5557,                0.71126,                0.43924,                0.51439,                 0.3427,                 1.7285,                 2.4694,                 1.7965,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.2674,                 1.5113,                 1.5162,                0.62302,                0.62011,                0.63941,                0.38831,                  1.599,                 1.9478,                  1.691,              0.0014703,              0.0014703,              0.0014703
                      6,                 1.2281,                 1.4148,                 1.4819,                0.82153,                0.48675,                0.54702,                0.38958,                 1.4496,                 2.1354,                 1.5932,              0.0014604,              0.0014604,              0.0014604
                      7,                 1.2172,                 1.3955,                 1.4646,                0.70571,                0.53867,                0.64087,                0.40474,                 1.4413,                 1.9036,                 1.6525,              0.0014505,              0.0014505,              0.0014505
                      8,                 1.1881,                 1.3627,                 1.4502,                0.80934,                0.55436,                0.63094,                0.41749,                 1.4089,                  1.785,                   1.57,              0.0014406,              0.0014406,              0.0014406
                      9,                 1.1755,                 1.3096,                 1.4393,                0.94498,                0.53075,                0.62081,                0.42587,                 1.3997,                 1.8385,                 1.5775,              0.0014307,              0.0014307,              0.0014307
                     10,                 1.1287,                 1.2547,                 1.4057,                0.67997,                0.60841,                0.63274,                0.44566,                 1.3802,                 1.8164,                 1.5006,              0.0014208,              0.0014208,              0.0014208
                     11,                 1.1342,                 1.2155,                 1.3869,                0.76829,                0.57558,                 0.6246,                0.44407,                 1.2598,                 1.8683,                 1.4286,              0.0014109,              0.0014109,              0.0014109
                     12,                 1.1127,                 1.1984,                 1.3904,                0.90384,                0.56419,                 0.6578,                  0.465,                 1.2499,                 1.9027,                 1.3903,               0.001401,               0.001401,               0.001401
                     13,                 1.1074,                 1.1607,                  1.378,                0.92278,                0.55354,                0.67295,                0.46629,                 1.3414,                 1.8096,                 1.4797,              0.0013911,              0.0013911,              0.0013911
                     14,                 1.1028,                 1.1536,                 1.3836,                0.94194,                0.56244,                0.69253,                 0.4907,                 1.3075,                 1.7351,                 1.5277,              0.0013812,              0.0013812,              0.0013812
                     15,                 1.0865,                 1.1376,                 1.3695,                0.84303,                0.55928,                0.65827,                0.47283,                 1.2416,                 1.7727,                 1.4193,              0.0013713,              0.0013713,              0.0013713
                     16,                 1.0903,                 1.1296,                 1.3669,                0.86468,                0.64734,                0.71937,                0.51481,                 1.2485,                 1.6113,                 1.4183,              0.0013614,              0.0013614,              0.0013614
                     17,                 1.0804,                 1.1263,                 1.3696,                0.77288,                0.65806,                0.73183,                0.52484,                 1.1996,                 1.5548,                 1.3762,              0.0013515,              0.0013515,              0.0013515
                     18,                 1.0675,                 1.1015,                 1.3435,                0.86408,                0.62501,                0.73107,                0.54321,                 1.1453,                  1.526,                 1.3502,              0.0013416,              0.0013416,              0.0013416
                     19,                 1.0576,                 1.0801,                 1.3484,                0.77651,                0.75062,                0.78193,                0.56622,                 1.1809,                 1.4708,                 1.3795,              0.0013317,              0.0013317,              0.0013317
                     20,                 1.0543,                 1.0747,                 1.3459,                0.90166,                0.59015,                   0.73,                0.52671,                 1.2078,                 1.7759,                 1.2939,              0.0013218,              0.0013218,              0.0013218
                     21,                  1.041,                 1.0486,                 1.3352,                0.85665,                0.65483,                0.77567,                0.56391,                  1.138,                 1.3596,                 1.3053,              0.0013119,              0.0013119,              0.0013119
                     22,                 1.0432,                 1.0505,                 1.3259,                0.78907,                0.68507,                0.76305,                0.53353,                 1.2125,                 1.4174,                 1.3779,               0.001302,               0.001302,               0.001302
                     23,                 1.0364,                 1.0369,                 1.3263,                0.81407,                0.74562,                0.80639,                 0.5997,                 1.1304,                 1.3101,                 1.3172,              0.0012921,              0.0012921,              0.0012921
                     24,                 1.0153,                 1.0191,                 1.3175,                0.79546,                0.74306,                0.81925,                 0.5836,                 1.1042,                  1.299,                 1.3013,              0.0012822,              0.0012822,              0.0012822
                     25,                 1.0111,                 1.0105,                 1.3102,                0.76002,                 0.6561,                0.74894,                0.54788,                 1.1326,                 1.5555,                 1.2742,              0.0012723,              0.0012723,              0.0012723
                     26,                 1.0309,                 1.0082,                  1.321,                0.86258,                0.66758,                0.78224,                0.58971,                 1.0996,                 1.5215,                 1.3035,              0.0012624,              0.0012624,              0.0012624
                     27,                  1.026,                 1.0143,                 1.3142,                0.71473,                0.68879,                 0.7286,                 0.5505,                 1.0852,                 1.3756,                 1.2447,              0.0012525,              0.0012525,              0.0012525
                     28,                 1.0132,                 1.0122,                 1.3119,                0.90591,                0.54486,                0.71437,                0.51862,                 1.1654,                 1.8213,                 1.3408,              0.0012426,              0.0012426,              0.0012426
                     29,                 1.0137,                 0.9859,                   1.31,                 0.9504,                0.55023,                0.74828,                0.54845,                 1.1229,                  1.724,                 1.2882,              0.0012327,              0.0012327,              0.0012327
                     30,                0.99665,                0.96035,                 1.3017,                0.83919,                0.71766,                0.81703,                0.58905,                 1.1137,                 1.3889,                 1.2961,              0.0012228,              0.0012228,              0.0012228
                     31,                0.99752,                0.97013,                 1.2964,                0.78155,                 0.7031,                0.76346,                0.55385,                 1.1867,                 1.4718,                 1.3407,              0.0012129,              0.0012129,              0.0012129
                     32,                0.99856,                0.96574,                 1.2945,                0.82113,                0.71937,                0.80439,                0.59983,                 1.0543,                 1.2113,                 1.2071,               0.001203,               0.001203,               0.001203
