                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4111,                 2.0974,                 1.6076,                0.38545,                0.34374,                0.31042,                0.16827,                 2.1468,                 2.8704,                  2.157,               0.067218,             0.00049922,             0.00049922
                      2,                 1.4052,                 1.7651,                 1.5992,                0.61546,                0.45965,                0.49017,                0.29393,                 1.7884,                 2.6391,                 1.8239,               0.034378,             0.00099262,             0.00099262
                      3,                 1.3844,                 1.7007,                 1.5759,                0.75261,                0.41709,                0.46943,                0.29604,                 1.7015,                 2.5561,                 1.7871,              0.0015315,              0.0014794,              0.0014794
                      4,                 1.3268,                 1.6425,                 1.5615,                0.91536,                0.43585,                0.55417,                0.35374,                 1.5367,                 2.1229,                 1.6035,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.3028,                  1.563,                 1.5339,                0.77669,                0.46945,                0.47335,                0.31132,                 1.5996,                 2.5267,                 1.7634,              0.0014703,              0.0014703,              0.0014703
                      6,                 1.2733,                 1.5048,                 1.4919,                0.95321,                0.51633,                0.60484,                0.40538,                 1.6107,                 2.1431,                 1.6407,              0.0014604,              0.0014604,              0.0014604
                      7,                  1.227,                 1.4045,                 1.4632,                0.90884,                0.52316,                 0.5936,                0.41591,                 1.4803,                 2.2098,                 1.6284,              0.0014505,              0.0014505,              0.0014505
                      8,                 1.1971,                 1.3698,                 1.4642,                0.57574,                  0.487,                0.54413,                0.37912,                 1.4905,                 2.0989,                 1.6196,              0.0014406,              0.0014406,              0.0014406
                      9,                 1.2005,                  1.361,                 1.4555,                0.83399,                0.51254,                0.58478,                0.38976,                 1.5671,                 2.1518,                 1.7004,              0.0014307,              0.0014307,              0.0014307
                     10,                 1.1654,                 1.2821,                 1.4209,                0.92141,                0.47605,                0.58629,                 0.4041,                 1.4174,                 2.0773,                 1.5594,              0.0014208,              0.0014208,              0.0014208
                     11,                  1.146,                 1.2559,                 1.4117,                  0.922,                0.55965,                0.59257,                0.41927,                 1.4621,                 2.0722,                 1.6111,              0.0014109,              0.0014109,              0.0014109
                     12,                 1.1359,                 1.2485,                  1.415,                0.78733,                0.62271,                0.69906,                0.45863,                 1.3962,                 1.6394,                 1.5196,               0.001401,               0.001401,               0.001401
                     13,                 1.1126,                 1.1873,                 1.3786,                 0.9008,                 0.5176,                0.63754,                0.44153,                 1.3415,                 1.8798,                 1.5164,              0.0013911,              0.0013911,              0.0013911
                     14,                 1.1375,                 1.2021,                 1.4041,                0.95433,                0.54638,                0.68377,                0.48854,                 1.2859,                 1.6913,                 1.4853,              0.0013812,              0.0013812,              0.0013812
                     15,                 1.0974,                 1.1643,                 1.3798,                0.91744,                0.54302,                0.64485,                0.43806,                 1.4556,                 1.9331,                 1.5514,              0.0013713,              0.0013713,              0.0013713
                     16,                 1.0972,                 1.1589,                 1.3761,                0.95601,                0.51516,                0.63722,                0.45709,                 1.3558,                 1.9761,                 1.4672,              0.0013614,              0.0013614,              0.0013614
                     17,                 1.0809,                 1.1491,                 1.3648,                0.89522,                0.54659,                0.66966,                0.48572,                 1.3014,                 1.7969,                 1.4359,              0.0013515,              0.0013515,              0.0013515
                     18,                 1.0676,                 1.0949,                 1.3543,                0.96082,                0.54651,                 0.6934,                0.49853,                 1.3452,                 1.8283,                 1.4984,              0.0013416,              0.0013416,              0.0013416
                     19,                 1.0682,                 1.1125,                  1.357,                0.68389,                0.63726,                0.67781,                0.48532,                 1.3332,                 1.6182,                 1.4808,              0.0013317,              0.0013317,              0.0013317
                     20,                 1.0644,                 1.0913,                  1.352,                0.66891,                 0.6054,                0.65333,                0.47376,                 1.2812,                 1.6793,                 1.4465,              0.0013218,              0.0013218,              0.0013218
                     21,                 1.0583,                 1.0712,                 1.3506,                0.78828,                0.61725,                0.70545,                0.50671,                  1.294,                 1.5886,                  1.469,              0.0013119,              0.0013119,              0.0013119
                     22,                 1.0528,                 1.0624,                 1.3394,                 0.8915,                0.54671,                0.62967,                0.45961,                 1.3639,                 1.8643,                 1.5033,               0.001302,               0.001302,               0.001302
                     23,                 1.0516,                 1.0776,                 1.3434,                0.72912,                0.62337,                0.65277,                0.46656,                 1.3333,                 1.7335,                 1.4978,              0.0012921,              0.0012921,              0.0012921
                     24,                 1.0242,                 1.0509,                 1.3266,                0.77623,                0.69517,                0.75449,                0.51872,                 1.2851,                 1.5251,                 1.4559,              0.0012822,              0.0012822,              0.0012822
                     25,                 1.0479,                 1.0506,                 1.3459,                0.72885,                0.66554,                0.71067,                0.50491,                 1.2494,                 1.5885,                 1.4039,              0.0012723,              0.0012723,              0.0012723
                     26,                  1.043,                 1.0263,                 1.3317,                0.78808,                0.69594,                0.76338,                0.53689,                 1.2387,                 1.5999,                 1.4157,              0.0012624,              0.0012624,              0.0012624
                     27,                 1.0155,                 1.0089,                 1.3185,                0.79058,                0.61725,                 0.7261,                0.51242,                 1.3222,                 1.6324,                 1.4543,              0.0012525,              0.0012525,              0.0012525
                     28,                 1.0209,                 1.0009,                  1.315,                0.76992,                0.71324,                0.77204,                0.55188,                  1.206,                 1.3112,                 1.3824,              0.0012426,              0.0012426,              0.0012426
                     29,                 1.0212,                 1.0061,                 1.3139,                 0.8118,                0.66859,                0.76834,                0.56448,                 1.2236,                 1.4377,                 1.4264,              0.0012327,              0.0012327,              0.0012327
                     30,                 1.0199,                 1.0111,                 1.3261,                0.74967,                0.69819,                0.76215,                0.53065,                 1.3126,                  1.308,                  1.437,              0.0012228,              0.0012228,              0.0012228
                     31,                 1.0047,                 0.9943,                 1.3138,                0.76174,                0.67852,                 0.7451,                0.52856,                 1.2991,                 1.5683,                 1.4461,              0.0012129,              0.0012129,              0.0012129
                     32,                 1.0048,                0.96918,                 1.2946,                0.73932,                0.67824,                0.75393,                0.54723,                 1.2201,                 1.4671,                 1.3628,               0.001203,               0.001203,               0.001203
                     33,                0.98864,                0.97732,                 1.3044,                0.72415,                 0.6752,                0.73634,                0.53017,                 1.1945,                 1.5196,                 1.3742,              0.0011931,              0.0011931,              0.0011931
                     34,                0.99289,                0.95548,                  1.295,                0.79905,                0.66222,                0.76887,                0.54433,                 1.2197,                 1.4158,                 1.3654,              0.0011832,              0.0011832,              0.0011832
                     35,                0.98403,                0.95767,                 1.2958,                0.74238,                0.66544,                0.73887,                0.54454,                 1.2038,                 1.4158,                  1.378,              0.0011733,              0.0011733,              0.0011733
                     36,                0.98374,                0.95334,                 1.2914,                 0.9195,                0.59723,                0.75516,                0.55553,                 1.1649,                 1.5526,                 1.3498,              0.0011634,              0.0011634,              0.0011634
                     37,                0.99442,                0.95777,                 1.2974,                0.76875,                0.69812,                0.76089,                0.55365,                  1.172,                 1.3857,                 1.3236,              0.0011535,              0.0011535,              0.0011535
                     38,                0.98676,                0.94202,                 1.2843,                0.74716,                0.75001,                0.76531,                0.54124,                 1.2361,                 1.3712,                 1.3905,              0.0011436,              0.0011436,              0.0011436
                     39,                0.98349,                0.94427,                 1.2819,                 0.8155,                0.75101,                0.80728,                0.58866,                 1.1043,                 1.1393,                 1.2858,              0.0011337,              0.0011337,              0.0011337
                     40,                0.97456,                0.93471,                 1.2824,                0.83556,                0.68995,                0.78431,                0.58939,                  1.119,                 1.2942,                  1.305,              0.0011238,              0.0011238,              0.0011238
                     41,                0.96606,                0.91702,                 1.2812,                0.79524,                0.78799,                 0.8126,                0.58051,                 1.2422,                 1.1392,                 1.4063,              0.0011139,              0.0011139,              0.0011139
                     42,                0.96477,                0.90982,                 1.2746,                0.88408,                0.71692,                0.79891,                0.57591,                 1.1908,                 1.2717,                 1.3394,               0.001104,               0.001104,               0.001104
                     43,                0.95805,                0.90564,                   1.27,                0.76811,                 0.6951,                0.78497,                 0.5717,                 1.1378,                 1.3457,                 1.2839,              0.0010941,              0.0010941,              0.0010941
                     44,                0.96298,                 0.9112,                  1.274,                0.82519,                0.69261,                0.79103,                0.57684,                 1.1062,                 1.3794,                 1.2836,              0.0010842,              0.0010842,              0.0010842
                     45,                0.97414,                0.90583,                 1.2785,                0.77918,                 0.7152,                0.81214,                0.60382,                 1.0923,                 1.3677,                 1.2758,              0.0010743,              0.0010743,              0.0010743
                     46,                0.95819,                0.88983,                 1.2682,                0.81507,                0.71769,                0.78433,                0.57626,                 1.1436,                 1.3811,                 1.3129,              0.0010644,              0.0010644,              0.0010644
                     47,                0.97356,                0.90664,                 1.2708,                0.84044,                  0.798,                0.83423,                0.59626,                 1.1861,                 1.1225,                 1.3264,              0.0010545,              0.0010545,              0.0010545
                     48,                0.95029,                0.88079,                 1.2596,                0.84167,                0.76329,                0.81929,                0.58393,                 1.2061,                 1.2089,                 1.3537,              0.0010446,              0.0010446,              0.0010446
                     49,                0.93877,                 0.8635,                 1.2552,                0.75315,                0.72958,                0.77652,                0.56724,                 1.1882,                 1.3047,                 1.3287,              0.0010347,              0.0010347,              0.0010347
                     50,                0.94031,                0.86999,                 1.2551,                0.83247,                0.75123,                0.80551,                0.59129,                 1.1227,                 1.1606,                 1.2998,              0.0010248,              0.0010248,              0.0010248
                     51,                0.94254,                0.89384,                 1.2629,                0.76595,                0.72569,                0.76443,                0.55636,                 1.1667,                 1.2602,                 1.3327,              0.0010149,              0.0010149,              0.0010149
                     52,                0.94545,                0.87834,                  1.251,                0.79735,                0.67566,                 0.7907,                0.58995,                 1.1097,                 1.3716,                 1.2676,               0.001005,               0.001005,               0.001005
                     53,                0.92377,                0.84564,                 1.2422,                0.82192,                0.72556,                0.79074,                0.58305,                 1.1607,                 1.3241,                 1.3214,              0.0009951,              0.0009951,              0.0009951
                     54,                 0.9382,                 0.8633,                 1.2547,                0.84195,                0.62583,                0.75121,                0.56018,                 1.1739,                 1.4788,                 1.3226,              0.0009852,              0.0009852,              0.0009852
                     55,                0.93301,                0.84004,                 1.2462,                0.86405,                0.66054,                0.77886,                0.58243,                 1.0975,                 1.4451,                 1.2674,              0.0009753,              0.0009753,              0.0009753
                     56,                0.93595,                0.85596,                 1.2519,                0.78196,                0.66673,                0.76034,                0.56176,                  1.222,                 1.5563,                 1.3752,              0.0009654,              0.0009654,              0.0009654
                     57,                0.91852,                0.82146,                 1.2413,                 0.7555,                0.69591,                0.76617,                0.57372,                  1.166,                 1.3643,                 1.3423,              0.0009555,              0.0009555,              0.0009555
                     58,                0.91081,                0.82015,                  1.237,                 0.7377,                0.70313,                0.75255,                0.56713,                 1.1228,                 1.3052,                 1.2828,              0.0009456,              0.0009456,              0.0009456
                     59,                 0.9227,                0.83077,                 1.2416,                0.84274,                0.73788,                 0.8128,                0.60687,                 1.1394,                 1.1788,                 1.2726,              0.0009357,              0.0009357,              0.0009357
                     60,                0.90907,                0.81577,                 1.2356,                0.78781,                0.68669,                0.76719,                0.58497,                 1.1195,                 1.4182,                 1.2777,              0.0009258,              0.0009258,              0.0009258
                     61,                0.90695,                0.80357,                 1.2285,                0.77872,                0.70988,                 0.8025,                0.60395,                 1.1531,                 1.2776,                 1.2986,              0.0009159,              0.0009159,              0.0009159
                     62,                0.90669,                0.80883,                 1.2354,                0.78895,                0.69669,                0.77871,                0.58532,                 1.1641,                 1.3467,                  1.325,               0.000906,               0.000906,               0.000906
                     63,                0.91465,                0.81406,                  1.233,                0.84611,                0.68874,                0.78399,                0.56962,                  1.143,                  1.248,                 1.3162,              0.0008961,              0.0008961,              0.0008961
                     64,                0.89819,                0.81484,                 1.2315,                0.75852,                0.71814,                0.76805,                0.57363,                 1.1341,                 1.2384,                 1.3072,              0.0008862,              0.0008862,              0.0008862
                     65,                0.89239,                 0.7883,                 1.2194,                0.83188,                0.73507,                0.79169,                0.58929,                 1.1362,                 1.2681,                 1.2913,              0.0008763,              0.0008763,              0.0008763
                     66,                0.90107,                0.79241,                 1.2319,                0.79619,                0.70426,                0.76873,                0.56074,                 1.1783,                 1.2651,                 1.3179,              0.0008664,              0.0008664,              0.0008664
                     67,                0.90714,                0.80297,                 1.2286,                0.84413,                0.73053,                0.79828,                0.59188,                 1.1089,                 1.2027,                 1.2447,              0.0008565,              0.0008565,              0.0008565
                     68,                0.89809,                0.79794,                 1.2271,                0.90693,                0.77125,                0.83361,                0.61389,                 1.0985,                 1.0168,                 1.2564,              0.0008466,              0.0008466,              0.0008466
                     69,                 0.9023,                0.80191,                 1.2241,                 0.8398,                0.80106,                0.82695,                0.62341,                 1.0795,                 1.1024,                 1.2447,              0.0008367,              0.0008367,              0.0008367
                     70,                0.89978,                0.80279,                 1.2265,                0.85553,                0.78315,                0.82936,                0.61637,                 1.1229,                 1.0227,                 1.2686,              0.0008268,              0.0008268,              0.0008268
                     71,                0.88103,                0.77401,                 1.2046,                0.87281,                0.65319,                0.78683,                0.60218,                 1.1088,                 1.3175,                 1.2631,              0.0008169,              0.0008169,              0.0008169
                     72,                0.88465,                0.78046,                 1.2238,                0.85618,                 0.7785,                0.83361,                0.61577,                 1.1439,                 1.0292,                 1.2972,               0.000807,               0.000807,               0.000807
                     73,                0.87225,                0.77746,                  1.215,                0.81542,                0.72509,                 0.7721,                0.58164,                 1.1682,                  1.253,                 1.3331,              0.0007971,              0.0007971,              0.0007971
                     74,                 0.8799,                0.76743,                  1.205,                0.86382,                0.71643,                0.79612,                0.59474,                 1.1148,                 1.1943,                 1.2574,              0.0007872,              0.0007872,              0.0007872
                     75,                0.87649,                0.76987,                 1.2134,                0.88469,                0.76108,                0.83268,                0.60624,                 1.1723,                 1.1531,                 1.3246,              0.0007773,              0.0007773,              0.0007773
                     76,                0.88978,                0.77356,                 1.2169,                0.83127,                0.74724,                0.80138,                0.61112,                 1.0771,                 1.1295,                 1.2528,              0.0007674,              0.0007674,              0.0007674
                     77,                 0.8827,                0.74742,                 1.2047,                0.89942,                0.72999,                0.82131,                 0.6351,                 1.0921,                 1.1914,                 1.2578,              0.0007575,              0.0007575,              0.0007575
                     78,                0.86192,                 0.7514,                 1.1989,                0.79783,                0.75695,                0.80157,                0.60243,                 1.1031,                 1.2065,                 1.2701,              0.0007476,              0.0007476,              0.0007476
                     79,                0.87476,                0.75267,                 1.2016,                0.87894,                0.79226,                0.85252,                0.64456,                  1.116,                0.99973,                 1.2646,              0.0007377,              0.0007377,              0.0007377
                     80,                 0.8761,                0.74351,                    1.2,                0.84103,                0.71007,                0.81756,                0.62316,                 1.1145,                 1.2652,                 1.2608,              0.0007278,              0.0007278,              0.0007278
                     81,                0.85365,                0.71843,                 1.1881,                0.87361,                0.77318,                0.83108,                 0.6243,                 1.0558,                 1.0564,                 1.2129,              0.0007179,              0.0007179,              0.0007179
                     82,                0.86189,                0.74387,                 1.1961,                0.87007,                0.75689,                0.83283,                0.61891,                  1.096,                 1.0924,                 1.2505,               0.000708,               0.000708,               0.000708
                     83,                0.87334,                0.74204,                 1.2012,                0.92224,                 0.7539,                0.84302,                0.63514,                 1.0943,                 1.1053,                 1.2623,              0.0006981,              0.0006981,              0.0006981
                     84,                0.84955,                 0.7247,                 1.1898,                0.87592,                0.75287,                0.81309,                  0.622,                 1.1102,                 1.1504,                  1.281,              0.0006882,              0.0006882,              0.0006882
                     85,                0.85622,                0.71956,                 1.1917,                0.81724,                0.69488,                0.79953,                0.60035,                 1.1275,                 1.3195,                 1.2808,              0.0006783,              0.0006783,              0.0006783
                     86,                0.85964,                0.72654,                 1.1906,                0.88257,                0.73734,                0.82575,                0.61963,                 1.1254,                 1.1169,                 1.2836,              0.0006684,              0.0006684,              0.0006684
                     87,                0.86456,                0.72891,                 1.1999,                0.85006,                0.72044,                0.80147,                0.60879,                 1.1074,                 1.2012,                 1.2774,              0.0006585,              0.0006585,              0.0006585
                     88,                0.85459,                0.73281,                 1.1915,                 0.8319,                0.74191,                0.81634,                0.61033,                 1.1334,                 1.1029,                 1.2746,              0.0006486,              0.0006486,              0.0006486
                     89,                0.85953,                0.73295,                 1.1924,                0.85467,                0.75531,                0.83744,                0.63855,                 1.0498,                 1.0452,                 1.2163,              0.0006387,              0.0006387,              0.0006387
                     90,                0.84726,                0.70416,                 1.1842,                0.81397,                0.76709,                0.82964,                0.63051,                 1.0857,                 1.0755,                 1.2538,              0.0006288,              0.0006288,              0.0006288
                     91,                0.84441,                0.71426,                 1.1855,                  0.905,                  0.705,                0.82383,                0.62863,                 1.0776,                 1.1241,                 1.2373,              0.0006189,              0.0006189,              0.0006189
                     92,                0.84425,                  0.718,                 1.1864,                0.88964,                0.75899,                0.82974,                0.63019,                  1.062,                 1.0507,                 1.2109,               0.000609,               0.000609,               0.000609
                     93,                0.84511,                0.71362,                 1.1807,                0.86755,                0.79755,                0.84346,                0.63622,                 1.0657,                  1.011,                 1.2305,              0.0005991,              0.0005991,              0.0005991
                     94,                0.83709,                0.69496,                 1.1751,                 0.8046,                0.80433,                 0.8221,                0.62493,                 1.0579,                 1.0456,                 1.2109,              0.0005892,              0.0005892,              0.0005892
                     95,                0.83009,                0.67912,                 1.1745,                0.91685,                0.74714,                 0.8322,                0.63233,                 1.0784,                 1.0523,                 1.2342,              0.0005793,              0.0005793,              0.0005793
