                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5468,                 2.3828,                 1.7566,                0.78132,                0.20571,                0.17929,                0.09576,                 2.5593,                 3.3813,                 2.5774,               0.067218,             0.00049922,             0.00049922
                      2,                  1.513,                 2.0807,                 1.7249,                0.77742,                0.28132,                0.30674,                0.16262,                 2.2224,                  3.234,                 2.3543,               0.034378,             0.00099262,             0.00099262
                      3,                  1.482,                 1.9688,                 1.6949,                0.40451,                0.24796,                0.27248,                 0.1604,                 2.0408,                 3.1034,                 2.1998,              0.0015315,              0.0014794,              0.0014794
                      4,                 1.4193,                 1.8573,                 1.6543,                0.41977,                0.27588,                0.26562,                0.17039,                 2.3698,                 3.3485,                 2.5237,              0.0014703,              0.0014703,              0.0014703
                      5,                 1.3861,                 1.7916,                 1.6258,                0.80263,                0.25796,                0.29513,                0.17788,                 2.0673,                 3.0337,                 2.1668,              0.0014703,              0.0014703,              0.0014703
                      6,                 1.3333,                 1.6605,                 1.5776,                0.56434,                0.33484,                0.38351,                0.22518,                   1.95,                 2.9036,                 2.1176,              0.0014604,              0.0014604,              0.0014604
                      7,                  1.319,                 1.6488,                 1.5697,                0.60157,                0.36085,                0.45365,                0.27557,                 1.9286,                 2.4536,                 2.0321,              0.0014505,              0.0014505,              0.0014505
                      8,                 1.2989,                 1.6457,                 1.5622,                0.61928,                0.35023,                0.40177,                0.25459,                 2.0167,                 2.5476,                 2.1427,              0.0014406,              0.0014406,              0.0014406
                      9,                 1.2705,                 1.5744,                 1.5495,                0.89528,                0.47154,                0.53321,                0.34903,                 1.7661,                 2.2922,                 1.9458,              0.0014307,              0.0014307,              0.0014307
                     10,                  1.223,                 1.4768,                 1.5001,                0.71094,                0.44251,                0.51106,                0.32803,                  1.864,                 2.3147,                 1.9949,              0.0014208,              0.0014208,              0.0014208
                     11,                 1.2561,                  1.485,                 1.5088,                0.85623,                0.38273,                0.46315,                0.28893,                 1.7867,                 2.5254,                 1.9678,              0.0014109,              0.0014109,              0.0014109
                     12,                 1.2122,                 1.4476,                 1.4957,                0.77281,                0.48168,                0.51887,                0.34729,                 1.7031,                 2.2585,                 1.8758,               0.001401,               0.001401,               0.001401
                     13,                 1.2107,                 1.4117,                 1.4842,                0.66527,                0.44174,                0.49475,                0.33552,                 1.7247,                 2.2283,                 1.9033,              0.0013911,              0.0013911,              0.0013911
                     14,                 1.2115,                 1.4032,                 1.4873,                0.85174,                0.50865,                0.54801,                 0.3705,                 1.6991,                 2.3539,                 1.8594,              0.0013812,              0.0013812,              0.0013812
                     15,                 1.1809,                 1.3734,                   1.46,                0.76767,                0.46373,                0.51233,                0.34303,                 1.8031,                 2.2121,                 1.9649,              0.0013713,              0.0013713,              0.0013713
                     16,                 1.1864,                 1.3623,                 1.4595,                0.76584,                0.50005,                0.54365,                0.36732,                 1.7207,                 2.0822,                 1.8465,              0.0013614,              0.0013614,              0.0013614
                     17,                 1.1691,                 1.3336,                 1.4451,                0.77543,                0.48412,                0.53597,                0.34764,                 1.8401,                 2.0208,                 1.9664,              0.0013515,              0.0013515,              0.0013515
                     18,                 1.1603,                 1.3209,                 1.4321,                0.80883,                0.48085,                 0.5363,                  0.334,                 1.7555,                 2.0984,                 1.8899,              0.0013416,              0.0013416,              0.0013416
                     19,                 1.1509,                 1.3068,                 1.4339,                0.85766,                 0.4282,                0.52113,                0.35417,                 1.7032,                 2.1966,                 1.8589,              0.0013317,              0.0013317,              0.0013317
                     20,                   1.15,                 1.2912,                 1.4277,                0.85027,                0.53231,                0.61165,                 0.4066,                 1.5207,                 2.0079,                 1.6794,              0.0013218,              0.0013218,              0.0013218
                     21,                 1.1322,                 1.2575,                  1.412,                0.77772,                0.54328,                0.59572,                0.40393,                 1.6385,                  1.908,                   1.75,              0.0013119,              0.0013119,              0.0013119
                     22,                 1.1386,                 1.2799,                 1.4197,                0.83309,                0.50496,                 0.5551,                0.38309,                 1.7116,                 2.1066,                 1.8476,               0.001302,               0.001302,               0.001302
                     23,                  1.133,                 1.2625,                 1.4176,                0.84382,                0.53157,                 0.5912,                0.40258,                 1.6656,                 1.9642,                 1.7883,              0.0012921,              0.0012921,              0.0012921
                     24,                  1.109,                 1.2356,                 1.4023,                0.92704,                0.49793,                0.58631,                 0.4045,                  1.585,                 2.0298,                 1.7434,              0.0012822,              0.0012822,              0.0012822
                     25,                 1.1075,                 1.2276,                 1.3956,                0.59427,                0.50946,                0.55139,                0.38536,                 1.6363,                 2.1758,                 1.8443,              0.0012723,              0.0012723,              0.0012723
                     26,                 1.1285,                 1.2336,                 1.4118,                0.93004,                0.49534,                0.57402,                0.40957,                 1.5986,                 2.0647,                 1.7623,              0.0012624,              0.0012624,              0.0012624
                     27,                 1.1241,                 1.2165,                 1.4036,                0.70802,                0.52454,                0.57689,                0.39699,                 1.5516,                 1.9543,                 1.6925,              0.0012525,              0.0012525,              0.0012525
                     28,                 1.1025,                 1.2203,                 1.3911,                0.92317,                0.49879,                  0.577,                0.41245,                 1.6013,                 2.3223,                 1.7521,              0.0012426,              0.0012426,              0.0012426
                     29,                 1.0915,                 1.1702,                 1.3831,                0.89223,                0.48373,                0.57682,                0.40086,                 1.6404,                 1.9339,                 1.8055,              0.0012327,              0.0012327,              0.0012327
                     30,                  1.086,                 1.1712,                 1.3859,                0.77701,                0.51109,                0.60063,                0.41809,                 1.5554,                 1.9535,                 1.7382,              0.0012228,              0.0012228,              0.0012228
                     31,                 1.0808,                 1.1637,                 1.3739,                0.94928,                 0.4938,                0.64756,                 0.4329,                 1.6218,                 1.8699,                 1.7097,              0.0012129,              0.0012129,              0.0012129
                     32,                 1.0868,                 1.1514,                  1.377,                0.89288,                0.50879,                 0.5995,                0.41698,                 1.5473,                 1.8791,                 1.6965,               0.001203,               0.001203,               0.001203
                     33,                 1.0877,                 1.1666,                 1.3762,                0.81777,                0.53396,                0.61163,                0.39477,                  1.667,                 1.8694,                 1.7667,              0.0011931,              0.0011931,              0.0011931
                     34,                 1.0737,                 1.1115,                 1.3559,                0.96287,                 0.5021,                0.56213,                0.40178,                 1.6821,                 2.3014,                 1.8591,              0.0011832,              0.0011832,              0.0011832
                     35,                 1.0648,                 1.1276,                 1.3635,                0.81367,                 0.5364,                 0.6218,                0.43522,                 1.5481,                 1.7832,                  1.717,              0.0011733,              0.0011733,              0.0011733
                     36,                 1.0695,                 1.1455,                 1.3612,                 0.7415,                0.49799,                0.56996,                0.40708,                 1.6616,                 2.0411,                   1.82,              0.0011634,              0.0011634,              0.0011634
                     37,                 1.0712,                 1.1128,                 1.3658,                0.85798,                0.54279,                0.62513,                  0.438,                 1.5117,                 1.9028,                 1.6672,              0.0011535,              0.0011535,              0.0011535
                     38,                 1.0547,                 1.0877,                 1.3422,                0.80315,                0.56902,                0.65362,                0.43818,                 1.6399,                 1.7532,                 1.7066,              0.0011436,              0.0011436,              0.0011436
                     39,                 1.0553,                 1.1018,                 1.3457,                0.65328,                 0.5748,                0.62149,                0.43991,                 1.5335,                 1.8114,                 1.6533,              0.0011337,              0.0011337,              0.0011337
                     40,                 1.0448,                 1.0915,                 1.3566,                 0.7964,                0.59374,                 0.6707,                0.45163,                 1.5601,                 1.7676,                 1.6891,              0.0011238,              0.0011238,              0.0011238
                     41,                 1.0288,                 1.0606,                  1.338,                0.63935,                0.61399,                0.63701,                 0.4337,                 1.5821,                 1.7444,                 1.7516,              0.0011139,              0.0011139,              0.0011139
                     42,                 1.0376,                 1.0867,                 1.3435,                 0.8723,                0.53634,                0.64391,                0.43759,                 1.5857,                  1.717,                 1.7242,               0.001104,               0.001104,               0.001104
                     43,                 1.0445,                 1.0663,                 1.3417,                 0.8103,                0.59561,                0.65756,                0.45201,                 1.5434,                 1.6673,                 1.6703,              0.0010941,              0.0010941,              0.0010941
                     44,                 1.0422,                  1.073,                 1.3361,                0.75829,                0.61781,                0.67326,                 0.4718,                 1.4992,                 1.6248,                 1.6465,              0.0010842,              0.0010842,              0.0010842
                     45,                 1.0303,                 1.0633,                 1.3453,                0.79709,                0.58213,                  0.677,                0.45747,                 1.5335,                 1.6567,                 1.6695,              0.0010743,              0.0010743,              0.0010743
                     46,                 1.0049,                 1.0351,                 1.3196,                0.91492,                0.53231,                 0.6606,                0.45508,                  1.611,                 1.8021,                 1.7441,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.0145,                 1.0402,                  1.322,                0.75813,                 0.6178,                0.66841,                0.47236,                 1.5117,                 1.6819,                 1.6587,              0.0010545,              0.0010545,              0.0010545
                     48,                 1.0239,                 1.0427,                 1.3267,                0.85482,                0.59767,                0.67743,                0.46492,                 1.5718,                 1.6799,                 1.7103,              0.0010446,              0.0010446,              0.0010446
                     49,                 1.0222,                 1.0285,                 1.3206,                0.89123,                0.56987,                0.67534,                0.46912,                  1.516,                 1.7412,                 1.6766,              0.0010347,              0.0010347,              0.0010347
                     50,                 1.0314,                 1.0392,                   1.34,                0.96353,                0.51723,                0.63127,                0.45335,                 1.4937,                 1.9722,                 1.6567,              0.0010248,              0.0010248,              0.0010248
                     51,                 1.0171,                 1.0226,                 1.3238,                0.83746,                0.60255,                0.68223,                0.47307,                 1.5077,                 1.5883,                 1.6499,              0.0010149,              0.0010149,              0.0010149
                     52,                 1.0032,                 1.0081,                 1.3111,                0.93621,                0.53063,                0.64816,                0.46008,                 1.5006,                 1.8151,                   1.68,               0.001005,               0.001005,               0.001005
                     53,                  0.999,                  1.011,                 1.3103,                0.93396,                0.54652,                0.66521,                0.46612,                 1.5369,                 1.8681,                 1.6526,              0.0009951,              0.0009951,              0.0009951
                     54,                 0.9975,                 1.0044,                 1.3057,                0.79138,                0.57885,                0.64102,                0.45111,                 1.5793,                 1.8337,                 1.6919,              0.0009852,              0.0009852,              0.0009852
                     55,                0.99901,                0.99969,                 1.3039,                0.91174,                0.55924,                0.64096,                0.45399,                 1.5976,                 1.8752,                 1.7246,              0.0009753,              0.0009753,              0.0009753
